Change Physical Footprint: Designator=R303 Old Footprint=RES_0805 New Footprint=RES_0805
Change Physical Footprint: Designator=R700 Old Footprint=RES_0805 New Footprint=RES_0805
Change Physical Footprint: Designator=S800 Old Footprint=DPDT New Footprint=DPDT
Change Physical Footprint: Designator=TP200 Old Footprint=TP-SMC-1206 New Footprint=TP-SMC-1206
Change Physical Footprint: Designator=TP201 Old Footprint=TP-SMC-1206 New Footprint=TP-SMC-1206
Change Physical Footprint: Designator=TP700 Old Footprint=TP-SMC-1206 New Footprint=TP-SMC-1206
Change Physical Footprint: Designator=TP_800 Old Footprint=TP-SMC-1206 New Footprint=TP-SMC-1206
Change Physical Footprint: Designator=TP_801 Old Footprint=TP-SMC-1206 New Footprint=TP-SMC-1206
Change Physical Footprint: Designator=U1 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U2 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U3 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U4 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U5 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U6 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U7 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U8 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U9 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U10 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U11 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U12 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U13 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U14 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U15 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U16 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U17 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U18 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U19 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U20 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U21 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U22 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U23 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U24 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U25 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U26 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U27 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U28 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U200 Old Footprint=IC_TLV73333PDBVR New Footprint=IC_TLV73333PDBVR
Change Physical Footprint: Designator=U300 Old Footprint=SW_6MM_6MM_SMT New Footprint=SW_6mm_6mm_SMT
Change Physical Footprint: Designator=U301 Old Footprint=SW_6MM_6MM_SMT New Footprint=SW_6mm_6mm_SMT
Change Physical Footprint: Designator=U400 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U401 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U402 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U403 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U404 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U405 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U406 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U407 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U408 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U409 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U410 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U411 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U412 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U413 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U414 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U415 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U416 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U417 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=U418 Old Footprint=APA102C New Footprint=APA102C
Change Physical Footprint: Designator=X300 Old Footprint=NX3215SA-32.768K-STD-MUA-8 New Footprint=NX3215SA-32.768K-STD-MUA-8
